Phase,PotPcnt,StackPcnt,BetPcnt,AvgBetAmt,BetAmtStdDev,AIPcnt,FoldPcnt,AvgFoldAmt
TURN,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,MEDIUM,0.8571428571428571,637.5,1425.493335656116,0.0,0.14285714285714285,760.0
FLOP,LOW,LOW,1.0,275.0,320.80627591533596,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.5294117647058824,712.7777777777778,878.0189542091999,0.0,0.5294117647058824,494.6666666666667
PREFLOP,LOW,HIGH,0.3333333333333333,960.0,640.0,0.0,0.6666666666666666,1035.0
PREFLOP,LOW,LOW,0.5,183.0,54.0,0.0,0.7,184.28571428571428
TURN,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.25,100.0,0.0,0.0,0.75,116.66666666666667
PREFLOP,LOW,MEDIUM,0.3333333333333333,360.0,40.0,0.0,0.8333333333333334,1200.0
FLOP,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.14285714285714285,960.0,569.0342696182718,0.0,0.8928571428571429,339.8
PREFLOP,LOW,LOW,0.4166666666666667,1120.0,1249.6399481450646,0.0,0.8333333333333334,860.0
TURN,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,MEDIUM,0.75,1300.0,1345.362404707371,0.0,0.375,733.3333333333334
RIVER,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
TURN,LOW,LOW,1.0,5233.5,5233.5,0.0,0.0,0.0
FLOP,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,MEDIUM,LOW,1.0,4922.0,0.0,0.0,0.0,0.0
FLOP,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.3023255813953488,939.7692307692307,1213.8460271034348,0.0,0.6976744186046512,395.6
PREFLOP,LOW,MEDIUM,1.0,600.0,200.0,0.0,0.0,0.0
FLOP,LOW,MEDIUM,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,LOW,0.8,0.0,0.0,0.0,0.2,1400.0
PREFLOP,LOW,LOW,0.47368421052631576,358.44444444444446,337.36465964923906,0.0,0.631578947368421,473.5
PREFLOP,LOW,HIGH,1.0,400.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,MEDIUM,0.5,45.0,0.0,0.0,0.5,160.0
TURN,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.3953488372093023,575.1176470588235,597.7429983207854,0.0,0.6744186046511628,439.6896551724138
PREFLOP,LOW,MEDIUM,0.8571428571428571,636.6666666666666,465.1045282753353,0.0,0.14285714285714285,160.0
RIVER,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
TURN,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,LOW,1.0,430.0,1049.904757585182,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.23636363636363636,430.61538461538464,393.8243533629874,0.0,0.7818181818181819,323.04651162790697
PREFLOP,LOW,HIGH,0.0,0.0,0.0,0.0,1.0,1500.0
FLOP,LOW,LOW,1.0,0.0,0.0,0.0,1.0,480.0
PREFLOP,LOW,LOW,0.0,0.0,0.0,0.0,1.0,400.0
RIVER,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
PREFLOP,LOW,MEDIUM,0.0,0.0,0.0,0.0,1.0,800.0
TURN,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
FLOP,LOW,LOW,1.0,187.5,188.33148966649205,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.6,380.0,519.5125920835156,0.0,0.56,831.8571428571429
FLOP,LOW,LOW,1.0,1450.0,1450.0,0.0,0.0,0.0
PREFLOP,LOW,LOW,0.15384615384615385,450.0,250.0,0.0,0.8461538461538461,1663.909090909091
RIVER,LOW,LOW,1.0,0.0,0.0,0.0,0.0,0.0
TURN,LOW,LOW,1.0,6298.0,6298.0,0.0,0.0,0.0
